STUID,GENDER,ETHNICITY,CITY,DISTRICT,FEEDER,PROGRAMSTART,CODE,PROGRAM,DEGREEID,DEGREE,PROGRAMSTATUS,GRADDATE,PROGRAMEND,ENROLLEDSEMESTER
5237,F,Creole,DANGRIGA TOWN,STANN CREEK,STANN CREEK ECUMENICAL HIGH SC,8/18/2003,AINT,Information Technology,11,Associate Degree,Graduated,12/14/2007,5/30/2005,2003-1
5261,M,Oriental,BELMOPAN CITY,CAYO,*UNKNOWN,8/18/2003,AINT,Information Technology,11,Associate Degree,Terminated,,,2003-1
5265,F,Creole,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/18/2003,AINT,Information Technology,11,Associate Degree,Terminated,,,2003-1
5287,M,Oriental,BENQUE VIEJO DEL CARMEN,CAYO,UNIVERSITY OF BELIZE,8/18/2003,AINT,Information Technology,11,Associate Degree,Graduated,12/7/2006,12/7/2006,2003-1
5320,F,Oriental,BELMOPAN CITY,CAYO,UNIVERSITY OF BELIZE,8/17/2009,AINT,Information Technology,11,Associate Degree,Graduated,6/18/2011,5/24/2011,2009-1
5337,F,Mestizo,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/18/2003,AINT,Information Technology,11,Associate Degree,Dropped,,,2004-1
5359,M,Oriental,ORANGE WALK,ORANGE WALK,ST. JOHN'S COLLEGE JUNIOR COLLEGE,8/15/2005,AINT,Information Technology,11,Associate Degree,Dropped,,,2005-1
5385,F,Creole,BELMOPAN CITY,CAYO,UNIVERSITY OF BELIZE,8/14/2006,AINT,Information Technology,11,Associate Degree,Terminated,,,2006-1
5388,M,Creole,CAMALOTE VILLAGE,CAYO,INDEPENDENCE JUNIOR COLLEGE,1/20/2014,AINT,Information Technology,11,Associate Degree,Terminated,,,2000-1
5394,M,Creole,BELIZE CITY,BELIZE,ST. JOHN'S COLLEGE,1/17/2005,AINT,Information Technology,11,Associate Degree,Dropped,,,2004-2
5400,F,Creole,BELMOPAN CITY,CAYO,UNIVERSITY OF BELIZE,6/29/2005,AINT,Information Technology,11,Associate Degree,Terminated,,,2005-1
5455,M,Mestizo,BELIZE CITY,BELIZE,*UNKNOWN,7/30/2004,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-1
5464,M,Garifuna,BELIZE CITY,BELIZE,ANGLICAN CATHEDRAL COLLEGE,8/1/2019,AINT,Information Technology,11,Associate Degree,In Process,,,2019-1
5483,M,Creole,HATTIEVILLE VILLAGE,BELIZE,EDWARD P. YORKE,5/27/2012,AINT,Information Technology,11,Associate Degree,Terminated,,,2012-1
5501,M,Other,BELIZE CITY,BELIZE,ST. JOHN'S COLLEGE,8/15/2005,AINT,Information Technology,11,Associate Degree,Graduated,6/9/2007,5/18/2007,2005-1
5523,M,Creole,BELIZE CITY,BELIZE,*UNKNOWN,7/30/2004,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-1
5529,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,*UNKNOWN,8/16/2004,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-2
5546,F,Creole,,ORANGE WALK,*UNKNOWN,8/16/2004,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-1
5555,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,*UNKNOWN,7/30/2004,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-1
5570,M,Creole,BELIZE CITY,BELIZE,ST. JOHN'S COLLEGE,8/18/2008,AINT,Information Technology,11,Associate Degree,Transferred,,,2008-1
5576,F,Mayan,TOLEDO DISTRICT,TOLEDO,JULIAN CHO TECHNICAL HIGH,8/16/2004,AINT,Information Technology,11,Associate Degree,Dropped,,,2004-1
5595,F,Mayan,TOLEDO DISTRICT,TOLEDO,*UNKNOWN,7/30/2004,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-1
5606,M,Garifuna,BELIZE CITY,BELIZE,*UNKNOWN,7/30/2004,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-1
5616,M,Other,BELIZE CITY,BELIZE,FOREIGN,8/16/2004,AINT,Information Technology,11,Associate Degree,Graduated,6/11/2006,5/19/2006,2004-1
5642,M,Mestizo,,ORANGE WALK,UNIVERSITY OF BELIZE,8/15/2005,AINT,Information Technology,11,Associate Degree,Dropped,,,2004-3
5661,M,Other,BELMOPAN CITY,CAYO,FOREIGN,8/16/2004,AINT,Information Technology,11,Associate Degree,Graduated,6/11/2006,5/19/2006,2004-1
5686,M,Creole,BELMOPAN CITY,CAYO,*UNKNOWN,7/30/2004,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-1
5696,F,Mestizo,BELMOPAN CITY,CAYO,BELMOPAN BAPTIST HIGH SCHOOL,8/16/2004,AINT,Information Technology,11,Associate Degree,Dropped,,,2004-1
5702,M,Creole,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/18/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-1
5713,M,Unknown,BELMOPAN CITY,CAYO,*UNKNOWN,8/16/2004,AINT,Information Technology,11,Associate Degree,Transferred,,,2004-1
5735,M,Mestizo,BELMOPAN CITY,CAYO,*UNKNOWN,7/30/2004,AINT,Information Technology,11,Associate Degree,Transferred,,,2004-1
5763,M,Mestizo,CAYO,CAYO,EDEN SDA HIGH,8/16/2004,AINT,Information Technology,11,Associate Degree,Graduated,6/20/2009,5/26/2009,2004-1
5800,M,Creole,BELIZE CITY,BELIZE,ANGLICAN CATHEDRAL COLLEGE,8/16/2004,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-1
5819,M,Oriental,ORANGE WALK TOWN,ORANGE WALK,*UNKNOWN,8/16/2004,AINT,Information Technology,11,Associate Degree,Dropped,,,2004-1
5826,F,Creole,INDEPENDENCE VILLAGE,STANN CREEK,*UNKNOWN,8/16/2004,AINT,Information Technology,11,Associate Degree,Dropped,,,2004-1
5833,F,Creole,INDEPENDENCE VILLAGE,STANN CREEK,*UNKNOWN,7/30/2004,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-1
5845,M,Creole,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/16/2004,AINT,Information Technology,11,Associate Degree,Graduated,6/9/2007,5/18/2007,2004-1
5874,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,*UNKNOWN,8/16/2004,AINT,Information Technology,11,Associate Degree,Graduated,6/11/2006,5/19/2006,2004-1
5900,M,Garifuna,BELMOPAN CITY,CAYO,UNIVERSITY OF BELIZE,8/15/2005,AINT,Information Technology,11,Associate Degree,Graduated,6/14/2008,5/19/2008,2005-1
5923,M,Mestizo,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/16/2004,AINT,Information Technology,11,Associate Degree,Graduated,6/11/2006,5/19/2006,2004-1
5948,M,Oriental,COROZAL,COROZAL,COROZAL COMMUNITY COLLEGE,8/16/2004,AINT,Information Technology,11,Associate Degree,Graduated,6/11/2006,5/19/2006,2004-1
5973,M,Oriental,BELMOPAN CITY,CAYO,*UNKNOWN,1/5/2005,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-2
5976,M,Mestizo,CAYO,BELIZE,*UNKNOWN,7/30/2004,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-1
5987,M,Mestizo,BELMOPAN CITY,CAYO,*UNKNOWN,7/30/2004,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-1
6013,M,Creole,INDEPENDENCE VILLAGE,STANN CREEK,*UNKNOWN,7/30/2004,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-1
6018,M,East Indian,STANN CREEK DISTRICT,STANN CREEK,ST. JOHN'S COLLEGE,8/16/2004,AINT,Information Technology,11,Associate Degree,Terminated,,,2005-1
6069,M,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,UNIVERSITY OF BELIZE,1/17/2005,AINT,Information Technology,11,Associate Degree,Dropped,,,2005-1
6081,F,Mestizo,SAN IGNACIO,CAYO,UNIVERSITY OF BELIZE,1/26/2004,AINT,Information Technology,11,Associate Degree,Graduated,6/11/2006,5/19/2006,2004-2
6096,F,Mestizo,SAN IGNACIO,CAYO,UNIVERSITY OF BELIZE,1/17/2005,AINT,Information Technology,11,Associate Degree,Graduated,6/11/2006,5/19/2006,2004-2
6111,M,Creole,BELIZE CITY,BELIZE,ST. JOHN'S COLLEGE JUNIOR COLLEGE,8/16/2004,AINT,Information Technology,11,Associate Degree,Graduated,6/11/2006,5/19/2006,2004-1
6128,M,Other,BELIZE CITY,BELIZE,FOREIGN,8/16/2004,AINT,Information Technology,11,Associate Degree,Graduated,6/11/2006,5/19/2006,2004-1
6153,M,Garifuna,BELIZE CITY,BELIZE,ST. JOHN'S COLLEGE,1/17/2005,AINT,Information Technology,11,Associate Degree,Graduated,7/24/2009,7/24/2009,2004-2
6191,M,Other,BELIZE CITY,BELIZE,*UNKNOWN,1/5/2005,AINT,Information Technology,11,Associate Degree,Terminated,,,2005-1
6195,M,East Indian,BELIZE CITY,BELIZE,BELIZE TECHNICAL COLLEGE,1/17/2005,AINT,Information Technology,11,Associate Degree,Dropped,,,2005-1
6229,F,Creole,CAYO,BELIZE,SACRED HEART COLLEGE,1/6/2005,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-2
6243,M,Creole,BELMOPAN CITY,CAYO,ST. JOHN'S COLLEGE JUNIOR COLLEGE,1/6/2005,AINT,Information Technology,11,Associate Degree,Terminated,,,2005-2
6260,M,Mestizo,ORANGE WALK,ORANGE WALK,MUFFLES JUNIOR COLLEGE,1/26/2005,AINT,Information Technology,11,Associate Degree,Dropped,,,2004-2
6287,F,Oriental,BELIZE CITY,BELIZE,*UNKNOWN,1/17/2005,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-2
6300,F,Creole,CAMALOTE VILLAGE,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,1/6/2005,AINT,Information Technology,11,Associate Degree,Dropped,,,2004-2
6309,M,Garifuna,CAYO,BELIZE,*UNKNOWN,1/6/2005,AINT,Information Technology,11,Associate Degree,Terminated,,,2004-2
6316,F,Creole,SANTA ELENA,CAYO,BELIZE COLLEGE OF AGRICULTURE,1/17/2005,AINT,Information Technology,11,Associate Degree,Dropped,,,2005-2
6321,M,Caucasian,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,1/5/2005,AINT,Information Technology,11,Associate Degree,Dropped,,,2004-2
6332,M,Mestizo,BELMOPAN CITY,CAYO,MOUNT CARMEL HIGH SCHOOL,1/17/2005,AINT,Information Technology,11,Associate Degree,Graduated,7/24/2009,7/24/2009,2005-2
6366,F,Mestizo,BENQUE VIEJO DEL CARMEN,CAYO,UNIVERSITY OF BELIZE,8/15/2005,AINT,Information Technology,11,Associate Degree,Dropped,,,2005-1
6373,M,Mayan,TOLEDO,BELIZE,TOLEDO COMMUNITY COLLEGE,8/18/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2009-2
6404,M,Mestizo,ORANGE WALK,ORANGE WALK,ORANGE WALK TECHNICAL,8/15/2005,AINT,Information Technology,11,Associate Degree,Terminated,,,2005-1
6423,M,Creole,BELIZE CITY,BELIZE,EDWARD P. YORKE,8/15/2005,AINT,Information Technology,11,Associate Degree,Graduated,6/20/2009,5/26/2009,2005-2
6461,F,Creole,BELIZE CITY,BELIZE,ANGLICAN CATHEDRAL COLLEGE,6/2/2005,AINT,Information Technology,11,Associate Degree,Dropped,,,2005-1
6467,M,Creole,BELIZE CITY,BELIZE,EDWARD P. YORKE,8/15/2005,AINT,Information Technology,11,Associate Degree,Graduated,6/16/2012,5/22/2012,2005-1
6498,M,Mestizo,SAN IGNACIO,CAYO,CANAAN SDA HIGH SCHOOL,8/12/2013,AINT,Information Technology,11,Associate Degree,Transferred,,,2013-2
6524,F,Creole,ORANGE WALK,ORANGE WALK,MUFFLES COLLEGE,8/15/2005,AINT,Information Technology,11,Associate Degree,Transferred,,,2005-1
6554,F,Creole,SAN PEDRO TOWN,BELIZE,MAUD WILLIAMS HIGHSCHOOL,8/15/2016,AINT,Information Technology,11,Associate Degree,Dropped,,,2016-1
6591,M,Mestizo,ORANGE WALK,ORANGE WALK,UNIVERSITY OF BELIZE,8/14/2006,AINT,Information Technology,11,Associate Degree,Dropped,,,2006-1
6599,F,Mestizo,-,STANN CREEK,STANN CREEK ECUMENICAL JR. COLLEGE,8/13/2007,AINT,Information Technology,11,Associate Degree,Transferred,,,2007-1
6611,F,Mestizo,NULL,NULL,UNIVERSITY OF BELIZE,8/20/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2008-1
6623,M,Creole,SANTA ELENA,CAYO,SACRED HEART COLLEGE,8/15/2005,AINT,Information Technology,11,Associate Degree,Graduated,6/16/2012,5/22/2012,2005-1
6666,M,Garifuna,DANGRIGA TOWN,STANN CREEK,STANN CREEK ECUMENICAL HIGH SC,6/2/2005,AINT,Information Technology,11,Associate Degree,Terminated,,,2005-1
6672,M,Mestizo,-,CAYO,UNIVERSITY OF BELIZE,8/19/2013,AINT,Information Technology,11,Associate Degree,Terminated,,,2000-1
6674,M,Creole,BELIZE CITY,BELIZE,CANAAN SDA HIGH SCHOOL,8/15/2005,AINT,Information Technology,11,Associate Degree,Transferred,,,2006-2
6713,M,Creole,BELIZE CITY,BELIZE,*WESLEY COLLEGE,8/15/2005,AINT,Information Technology,11,Associate Degree,Dropped,,,2005-1
6720,M,Oriental,BELMOPAN CITY,CAYO,BELMOPAN BAPTIST HIGH SCHOOL,8/15/2005,AINT,Information Technology,11,Associate Degree,Transferred,,,2006-1
6743,M,Garifuna,DANGRIGA TOWN,STANN CREEK,UNIVERSITY OF BELIZE,1/14/2008,AINT,Information Technology,11,Associate Degree,Terminated,,,2007-1
6756,M,Creole,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/15/2005,AINT,Information Technology,11,Associate Degree,Dropped,,,2005-1
6762,M,Other,BELMOPAN CITY,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,8/15/2005,AINT,Information Technology,11,Associate Degree,Graduated,6/14/2008,5/16/2008,2005-1
6793,M,Other,BELMOPAN CITY,CAYO,UNIVERSITY OF BELIZE,1/16/2006,AINT,Information Technology,11,Associate Degree,Graduated,6/14/2008,5/19/2008,2005-2
6816,M,East Indian,BELMOPAN,CAYO,BELMOPAN COMPREHENSIVE SCHOOL,6/2/2005,AINT,Information Technology,11,Associate Degree,Terminated,,,2005-1
6848,M,Mestizo,BELMOPAN CITY,CAYO,ADULT & CONTINUING EDUCATION,8/18/2014,AINT,Information Technology,11,Associate Degree,Terminated,,,2014-1
6853,F,Mestizo,SANTA ELENA,CAYO,SACRED HEART COLLEGE,6/2/2005,AINT,Information Technology,11,Associate Degree,Terminated,,,2005-2
6880,M,Mayan,BELMOPAN CITY,CAYO,BELMOPAN BAPTIST HIGH SCHOOL,6/2/2005,AINT,Information Technology,11,Associate Degree,Terminated,,,2005-1
6887,F,Garifuna,STANN CREEK,STANN CREEK,INDEPENDENCE HIGH SCHOOL,8/15/2005,AINT,Information Technology,11,Associate Degree,Transferred,,,2005-1
