course_id,course_name,course_description,course_outline,course_pass_rate,course_average
CMPS2242 ,Systems Programming  & Computer Organization ,https://drive.google.com/file/d/1g4f-iXZU3zEAqlwakXfbXRYO1FmQPejL/view?usp=drive_link,https://docs.google.com/document/d/19Rp9UPMSPCQmf8gsS1eFBP0FUAeqdZF1/edit?usp=sharing&ouid=113991536029981978239&rtpof=true&sd=true,3,B
CMPS2992 ,Project ,Not Available,Not Available,3.2,B
PSYC1014 ,Introduction to Psychology,Not Available,Not Available,2,C
SOCL1014 ,Introduction to Sociology,Not Available,Not Available,2,C
HIST1014 ,Belizean History ,Not Available,Not Available,2.3,C
CMPS3111 ,Programming Languages ,Not Available,Not Available,,
CMPS3141 ,Human Computer Interface ,https://drive.google.com/file/d/1E3IVdET75OO2ozQXj2V9NxGMl_0RYSyy/view?usp=drive_link,https://docs.google.com/document/d/1h9xTV5hLGtQJMC1iNqpvbHSmOBI486dp/edit?usp=sharing&ouid=113991536029981978239&rtpof=true&sd=true,,
CMPS3151 ,Telecommunication ,Not Available,Not Available,,
CMPS3171 ,Network Design ,Not Available,Not Available,,
MATH3251 ,Calculus III ,Not Available,Not Available,,
MATH3151 ,Linear Algebra,Not Available,Not Available,,
CMPS3162 ,Advanced Databases ,https://drive.google.com/file/d/1OuyeLSssp50kGFxWhx4mEs8JvptaG6Yi/view?usp=drive_link,https://docs.google.com/document/d/16hDd0uY0MlPWZkvGw5d0hknHQsO1FeX_/edit?usp=sharing&ouid=113991536029981978239&rtpof=true&sd=true,,
CMPS4131 ,Software Engineering ,Not Available,Not Available,,
CMPS3252 ,Algorithms ,https://drive.google.com/file/d/19Sp7XAMkk1f9L4WhCMlyH1qL9M-aYFKH/view?usp=drive_link,https://drive.google.com/file/d/1M69nHBj2zXBi7DlhpvlsKU3wkRjiduE0/view,,
ENGL3155 ,Technical Writing ,Not Available,Not Available,,
RSCH2014 ,Research Methods ,Not Available,Not Available,,
SPAN2015 ,Level 3 Intermediate Spanish ,Not Available,Not Available,,
CMPS4991 ,Senior Seminar in Information  Technology ,Not Available,Not Available,,
CMPS4992,Professional Practice ,Not Available,Not Available,,
CMPS4232 ,Systems Administration ,Not Available,Not Available,,
CMPS4191 ,Advanced Web Technologies ,Not Available,Not Available,,
CMPS4181 ,Mobile Application Development ,Not Available,Not Available,,
CMPS4171 ,Routing & Switching ,Not Available,Not Available,,
CMPS4252 ,Digital Logic & Design ,Not Available,Not Available,,
CMPS4251 ,Computer & Network Security ,Not Available,Not Available,,
CMPS4081 ,Practical Electronics ,Not Available,Not Available,,
